ALGOS,N,TIMEDynamicProgramming,2,0.000067
DynamicProgramming,3,0.000123
DynamicProgramming,4,0.000357
DynamicProgramming,5,0.001352
DynamicProgramming,6,0.004681
DynamicProgramming,7,0.014750
DynamicProgramming,8,0.045892
DynamicProgramming,9,0.130593
DynamicProgramming,10,0.365521
BruteForce,2,0.000042
BruteForce,3,0.000123
BruteForce,4,0.000173
BruteForce,5,0.000693
BruteForce,6,0.003216
BruteForce,7,0.022810
BruteForce,8,0.168355
BruteForce,9,1.501809
BruteForce,10,17.342906
BranchAndBound,2,0.000144
BranchAndBound,3,0.000299
BranchAndBound,4,0.000686
BranchAndBound,5,0.002627
BranchAndBound,6,0.005688
BranchAndBound,7,0.009841
BranchAndBound,8,0.066863
BranchAndBound,9,0.068892
BranchAndBound,10,0.201864
MSTApproximation,2,0.000106
MSTApproximation,3,0.000163
MSTApproximation,4,0.000527
MSTApproximation,5,0.000347
MSTApproximation,6,0.000492
MSTApproximation,7,0.000592
MSTApproximation,8,0.000729
MSTApproximation,9,0.001075
MSTApproximation,10,0.001021
